table_name,column_name,column_type,extra
bayview_20240612,ISBN13,BIGINT,
bayview_20240612,Title,VARCHAR,
bayview_20240612,Author,VARCHAR,
bayview_20240612,Publisher,VARCHAR,
bayview_20240612,Imprint,VARCHAR,
bayview_20240612,Edition,BIGINT,
bayview_20240612,Published Year,BIGINT,
bayview_20240612,Format,VARCHAR,
bayview_20240612,FormatType,VARCHAR,
bayview_20240612,IPED ID,BIGINT,
bayview_20240612,School,VARCHAR,
bayview_20240612,SchoolYearType,VARCHAR,
bayview_20240612,State,VARCHAR,
bayview_20240612,Dept Code,VARCHAR,
bayview_20240612,Department,VARCHAR,
bayview_20240612,Dept Description,VARCHAR,
bayview_20240612,Course Number,VARCHAR,
bayview_20240612,Section,VARCHAR,
bayview_20240612,Course Title,VARCHAR,
bayview_20240612,Course Level,VARCHAR,
bayview_20240612,Course Subject,VARCHAR,
bayview_20240612,Period,VARCHAR,
bayview_20240612,Enrollments,BIGINT,
bayview_20240612,Instructor,VARCHAR,
bayview_20240612,FirstName,VARCHAR,
bayview_20240612,LastName,VARCHAR,
bayview_20240612,E-Mail,VARCHAR,
bayview_20240612,Seats Taken,BIGINT,
bayview_20240612,Book Status,VARCHAR,
hdic_dist_2022_selected,unitid,BIGINT,
hdic_dist_2022_selected,instnm,VARCHAR,
hdic_dist_2022_selected,sector,VARCHAR,
hdic_dist_2022_selected,iclevel,VARCHAR,
hdic_dist_2022_selected,control,VARCHAR,
hdic_dist_2022_selected,instsize,VARCHAR,
hdic_dist_2022_selected,efydetot_tot_22,BIGINT,
hdic_dist_2022_selected,efyde_tot_22,BIGINT,
hdic_dist_2022_selected,typeinst,VARCHAR,
hdic_dist_2022_selected,insttype,VARCHAR,
opt_out,Emails,VARCHAR,
opt_out,Source,VARCHAR,
